SKU,Description,Property,Product,Territory,Channel,Sales Type,Units,Price,Return Units,Royalty %,Royalty Pay,MONTH,YEAR,Gross Sales,Returns,Net Units,Net Sales,Royalty Payable
SKU018,Tablet Case,Color-Black,Home Goods,Europe,Online,Direct,190,71.53,3,0.0959,Processing,10,2025,13590.7,214.59,187,13376.11,1282.77
SKU019,Water Bottle,Size-Medium,Furniture,Canada,Wholesale,Subscription,182,84.97,4,0.0519,Not Applicable,11,2024,15464.54,339.88,178,15124.66,784.97
SKU020,Backpack,Color-Blue,Furniture,Canada,Wholesale,Reseller,155,28.84,6,0.0937,Not Applicable,11,2025,4470.2,173.04,149,4297.16,402.64
SKU021,Water Bottle,Size-Large,Home Goods,Asia,Retail,Reseller,75,8.35,7,0.0522,Paid,5,2023,626.25,58.45,68,567.8,29.64
SKU022,Notebook,Size-Large,Furniture,USA,Retail,Reseller,68,56.21,4,0.0355,Paid,2,2024,3822.28,224.84,64,3597.44,127.71
SKU023,Tablet Case,Wireless,Furniture,Australia,Online,Subscription,177,83.78,0,0.0843,Not Applicable,5,2025,14829.06,0.0,177,14829.06,1250.09
SKU024,Headphones,Material-Steel,Electronics,Asia,Wholesale,Direct,173,99.89,8,0.0883,Paid,1,2025,17280.97,799.12,165,16481.85,1455.35
SKU025,Water Bottle,Wireless,Office Supplies,Australia,Wholesale,Direct,20,90.06,3,0.0424,Pending,8,2023,1801.2,270.18,17,1531.02,64.92
SKU026,Headphones,Fit-10 inch,Accessories,USA,Wholesale,Reseller,1,38.88,7,0.0121,Pending,7,2025,38.88,272.16,-6,-233.28,-2.82
SKU027,Tablet Case,Color-Blue,Home Goods,Asia,Distributor,Subscription,81,29.86,9,0.0196,Processing,11,2025,2418.66,268.74,72,2149.92,42.14
SKU028,Water Bottle,Style-Modern,Footwear,Canada,Online,Subscription,86,17.89,2,0.0875,Not Applicable,5,2025,1538.54,35.78,84,1502.76,131.49
SKU029,Backpack,Fit-10 inch,Furniture,Canada,Retail,Subscription,197,27.48,3,0.0941,Pending,6,2023,5413.56,82.44,194,5331.12,501.66
SKU030,Desk Lamp,Wireless,Footwear,USA,Distributor,Reseller,146,34.0,2,0.0896,Paid,8,2023,4964.0,68.0,144,4896.0,438.68
SKU031,Backpack,Size-Large,Home Goods,Europe,Retail,Reseller,169,80.36,9,0.0591,Processing,4,2025,13580.84,723.24,160,12857.6,759.88
SKU032,Tablet Case,Size-Medium,Apparel,Australia,Distributor,Subscription,148,56.67,6,0.0788,Not Applicable,7,2023,8387.16,340.02,142,8047.14,634.11
SKU033,T-Shirt,Size-Large,Accessories,Australia,Wholesale,Reseller,132,92.88,2,0.0758,Pending,8,2025,12260.16,185.76,130,12074.4,915.24
SKU034,Coffee Mug,Style-Modern,Electronics,Europe,Wholesale,Subscription,147,68.94,6,0.0522,Pending,3,2023,10134.18,413.64,141,9720.54,507.41
SKU035,Pen Set,Type-Lined,Footwear,Asia,Online,Direct,43,71.51,8,0.0253,Not Applicable,9,2025,3074.93,572.08,35,2502.85,63.32
SKU036,Notebook,Size-Medium,Office Supplies,Canada,Distributor,Subscription,56,58.81,7,0.0934,Paid,1,2024,3293.36,411.67,49,2881.69,269.15
SKU037,Tablet Case,Size-9,Electronics,Europe,Distributor,Direct,62,23.78,8,0.0964,Pending,2,2023,1474.36,190.24,54,1284.12,123.79
SKU038,Notebook,Style-Modern,Electronics,Australia,Retail,Subscription,8,87.53,8,0.0519,Processing,11,2025,700.24,700.24,0,0.0,0.0
SKU039,Sneakers,Color-Blue,Office Supplies,Australia,Online,Subscription,152,48.93,9,0.0905,Pending,2,2024,7437.36,440.37,143,6996.99,633.23
SKU040,Water Bottle,Style-Modern,Apparel,Australia,Online,Direct,96,33.03,7,0.079,Pending,1,2023,3170.88,231.21,89,2939.67,232.23
SKU041,Sneakers,Wireless,Office Supplies,Europe,Online,Subscription,194,65.41,4,0.0419,Paid,6,2024,12689.54,261.64,190,12427.9,520.73
SKU042,Water Bottle,Type-Lined,Footwear,Asia,Retail,Direct,129,67.22,0,0.0481,Paid,2,2023,8671.38,0.0,129,8671.38,417.09
SKU043,Desk Lamp,Color-Black,Accessories,Canada,Online,Reseller,93,24.55,3,0.0313,Processing,10,2025,2283.15,73.65,90,2209.5,69.16
SKU044,Notebook,Style-Modern,Electronics,USA,Wholesale,Reseller,74,6.16,5,0.075,Processing,2,2024,455.84,30.8,69,425.04,31.88
SKU045,Tablet Case,Fit-10 inch,Accessories,USA,Retail,Reseller,159,88.87,7,0.0677,Not Applicable,4,2024,14130.33,622.09,152,13508.24,914.51
SKU046,T-Shirt,Color-Blue,Footwear,Australia,Distributor,Subscription,170,87.06,5,0.0902,Paid,11,2024,14800.2,435.3,165,14364.9,1295.71
SKU047,Headphones,Material-Steel,Office Supplies,USA,Retail,Subscription,39,10.67,1,0.0253,Paid,3,2023,416.13,10.67,38,405.46,10.26
SKU048,Backpack,Color-Black,Footwear,Australia,Distributor,Direct,193,55.05,9,0.0496,Paid,5,2025,10624.65,495.45,184,10129.2,502.41
SKU049,Notebook,Color-Black,Electronics,Canada,Online,Direct,82,36.58,3,0.092,Pending,8,2024,2999.56,109.74,79,2889.82,265.86
SKU050,Backpack,Color-Blue,Home Goods,Asia,Retail,Direct,91,19.24,3,0.0504,Pending,11,2025,1750.84,57.72,88,1693.12,85.33
SKU051,Desk Lamp,Wireless,Stationery,USA,Retail,Direct,124,5.83,2,0.07,Processing,6,2025,722.92,11.66,122,711.26,49.79
SKU052,Coffee Mug,Size-Large,Footwear,USA,Wholesale,Direct,183,16.98,9,0.0994,Pending,11,2023,3107.34,152.82,174,2954.52,293.68
SKU053,Headphones,Material-Steel,Stationery,Australia,Retail,Direct,176,35.67,5,0.0383,Processing,6,2024,6277.92,178.35,171,6099.57,233.61
SKU054,Headphones,Wireless,Electronics,Asia,Wholesale,Subscription,61,41.28,5,0.028,Processing,1,2023,2518.08,206.4,56,2311.68,64.73
SKU055,Headphones,Size-9,Apparel,Australia,Wholesale,Direct,163,40.51,0,0.027,Pending,10,2023,6603.13,0.0,163,6603.13,178.28
SKU056,Notebook,Size-9,Footwear,Australia,Distributor,Subscription,70,73.57,3,0.095,Processing,4,2023,5149.9,220.71,67,4929.19,468.27
SKU057,Backpack,Color-Blue,Apparel,Canada,Online,Direct,145,34.5,1,0.0646,Paid,4,2024,5002.5,34.5,144,4968.0,320.93
SKU058,Notebook,Color-Black,Office Supplies,Asia,Wholesale,Reseller,137,27.99,3,0.0508,Pending,5,2023,3834.63,83.97,134,3750.66,190.53
SKU059,T-Shirt,Color-Blue,Home Goods,USA,Online,Reseller,15,11.74,0,0.0754,Pending,1,2024,176.1,0.0,15,176.1,13.28
SKU060,Sneakers,Fit-10 inch,Footwear,Australia,Retail,Subscription,178,19.4,6,0.0839,Not Applicable,4,2024,3453.2,116.4,172,3336.8,279.96
SKU061,Coffee Mug,Color-Black,Furniture,Australia,Online,Reseller,94,79.61,9,0.0247,Pending,11,2025,7483.34,716.49,85,6766.85,167.14
SKU062,Coffee Mug,Type-Lined,Stationery,Europe,Distributor,Reseller,167,7.22,1,0.0231,Paid,8,2025,1205.74,7.22,166,1198.52,27.69
SKU063,Water Bottle,Size-Large,Accessories,Europe,Retail,Subscription,46,92.45,4,0.0768,Processing,3,2023,4252.7,369.8,42,3882.9,298.21
SKU064,Pen Set,Size-Medium,Accessories,Canada,Retail,Reseller,198,10.96,8,0.0373,Not Applicable,2,2024,2170.08,87.68,190,2082.4,77.67
SKU065,Coffee Mug,Fit-10 inch,Furniture,Europe,Online,Reseller,69,20.25,1,0.0839,Pending,2,2025,1397.25,20.25,68,1377.0,115.53
SKU066,Water Bottle,Material-Steel,Furniture,Australia,Wholesale,Reseller,26,43.08,2,0.0322,Not Applicable,1,2024,1120.08,86.16,24,1033.92,33.29
SKU067,Backpack,Type-Lined,Furniture,USA,Retail,Subscription,6,13.22,7,0.0165,Processing,4,2024,79.32,92.54,-1,-13.22,-0.22
SKU068,Backpack,Size-9,Stationery,Europe,Retail,Reseller,185,96.66,6,0.0845,Pending,11,2023,17882.1,579.96,179,17302.14,1462.03
SKU069,Water Bottle,Material-Steel,Footwear,Europe,Retail,Subscription,13,15.64,3,0.0298,Pending,2,2023,203.32,46.92,10,156.4,4.66
SKU070,Headphones,Color-Blue,Footwear,Canada,Wholesale,Subscription,199,10.85,2,0.0864,Paid,11,2025,2159.15,21.7,197,2137.45,184.68
SKU071,Notebook,Material-Steel,Stationery,Australia,Wholesale,Subscription,179,71.26,8,0.0604,Not Applicable,2,2024,12755.54,570.08,171,12185.46,736.0
SKU072,Backpack,Style-Modern,Apparel,Asia,Retail,Subscription,73,99.41,0,0.0815,Not Applicable,3,2023,7256.93,0.0,73,7256.93,591.44
SKU073,Headphones,Type-Lined,Office Supplies,Australia,Retail,Subscription,26,79.62,1,0.0942,Not Applicable,8,2023,2070.12,79.62,25,1990.5,187.51
SKU074,Backpack,Type-Lined,Electronics,Canada,Retail,Subscription,185,42.63,9,0.0811,Paid,12,2023,7886.55,383.67,176,7502.88,608.48
SKU075,Headphones,Size-9,Stationery,Canada,Distributor,Reseller,64,63.89,1,0.0135,Pending,12,2024,4088.96,63.89,63,4025.07,54.34
SKU076,Tablet Case,Style-Modern,Stationery,Australia,Online,Reseller,17,51.51,1,0.055,Paid,4,2024,875.67,51.51,16,824.16,45.33
SKU077,Sneakers,Fit-10 inch,Accessories,Australia,Wholesale,Subscription,147,70.87,6,0.0396,Pending,4,2025,10417.89,425.22,141,9992.67,395.71
SKU078,Notebook,Wireless,Accessories,Asia,Online,Subscription,42,82.77,6,0.0815,Paid,3,2023,3476.34,496.62,36,2979.72,242.85
SKU079,T-Shirt,Color-Black,Stationery,Canada,Wholesale,Subscription,24,22.43,8,0.0254,Not Applicable,11,2024,538.32,179.44,16,358.88,9.12
SKU080,Pen Set,Color-Black,Footwear,Australia,Retail,Direct,76,28.46,5,0.0676,Not Applicable,4,2024,2162.96,142.3,71,2020.66,136.6
SKU081,T-Shirt,Material-Steel,Home Goods,Australia,Retail,Direct,81,64.62,7,0.037,Paid,8,2024,5234.22,452.34,74,4781.88,176.93
SKU082,Water Bottle,Material-Steel,Office Supplies,Europe,Distributor,Reseller,73,57.42,5,0.0579,Processing,2,2023,4191.66,287.1,68,3904.56,226.07
SKU083,Pen Set,Type-Lined,Home Goods,Australia,Distributor,Subscription,173,43.37,1,0.0171,Paid,3,2024,7503.01,43.37,172,7459.64,127.56
SKU084,Water Bottle,Style-Modern,Office Supplies,Canada,Retail,Subscription,149,89.04,0,0.0477,Paid,6,2024,13266.96,0.0,149,13266.96,632.83
SKU085,T-Shirt,Size-9,Apparel,USA,Retail,Reseller,102,9.61,4,0.0923,Pending,2,2025,980.22,38.44,98,941.78,86.93
SKU086,Pen Set,Fit-10 inch,Footwear,Canada,Online,Reseller,121,38.18,0,0.0677,Paid,7,2024,4619.78,0.0,121,4619.78,312.76
SKU087,T-Shirt,Type-Lined,Home Goods,Europe,Wholesale,Reseller,114,58.08,8,0.0758,Pending,6,2023,6621.12,464.64,106,6156.48,466.66
SKU088,T-Shirt,Color-Black,Apparel,Australia,Distributor,Direct,37,77.01,6,0.0417,Paid,8,2024,2849.37,462.06,31,2387.31,99.55
SKU089,Headphones,Wireless,Footwear,USA,Online,Subscription,161,7.71,7,0.0629,Not Applicable,12,2024,1241.31,53.97,154,1187.34,74.68
SKU090,Coffee Mug,Size-Medium,Stationery,Europe,Distributor,Subscription,49,87.69,8,0.0763,Paid,2,2023,4296.81,701.52,41,3595.29,274.32
SKU091,Desk Lamp,Type-Lined,Home Goods,Canada,Retail,Reseller,165,39.38,3,0.0249,Not Applicable,3,2023,6497.7,118.14,162,6379.56,158.85
SKU092,Tablet Case,Wireless,Electronics,Asia,Retail,Reseller,91,26.16,3,0.019,Paid,5,2024,2380.56,78.48,88,2302.08,43.74
SKU093,Sneakers,Material-Steel,Footwear,Australia,Retail,Reseller,138,95.27,0,0.0826,Paid,12,2024,13147.26,0.0,138,13147.26,1085.96
SKU094,Water Bottle,Size-Medium,Electronics,Australia,Distributor,Subscription,197,49.89,8,0.0607,Paid,8,2024,9828.33,399.12,189,9429.21,572.35
SKU095,Tablet Case,Type-Lined,Apparel,Australia,Retail,Reseller,21,76.16,4,0.0671,Not Applicable,2,2023,1599.36,304.64,17,1294.72,86.88
SKU096,Desk Lamp,Color-Black,Home Goods,Europe,Online,Subscription,70,72.64,8,0.0697,Not Applicable,2,2024,5084.8,581.12,62,4503.68,313.91
SKU097,Water Bottle,Style-Modern,Office Supplies,USA,Online,Direct,153,22.64,6,0.0467,Not Applicable,5,2024,3463.92,135.84,147,3328.08,155.42
SKU098,Coffee Mug,Fit-10 inch,Home Goods,Australia,Retail,Reseller,189,73.74,8,0.0444,Paid,6,2024,13936.86,589.92,181,13346.94,592.6
SKU099,Tablet Case,Size-Large,Home Goods,USA,Online,Subscription,75,92.63,4,0.0216,Not Applicable,6,2024,6947.25,370.52,71,6576.73,142.06
SKU100,Notebook,Fit-10 inch,Office Supplies,Asia,Online,Subscription,155,93.4,0,0.0482,Paid,3,2023,14477.0,0.0,155,14477.0,697.79
SKU101,Coffee Mug,Size-Large,Office Supplies,Canada,Online,Subscription,53,18.2,2,0.0293,Not Applicable,1,2024,964.6,36.4,51,928.2,27.2
SKU102,Backpack,Size-9,Furniture,Canada,Distributor,Subscription,169,91.49,5,0.0123,Pending,4,2024,15461.81,457.45,164,15004.36,184.55
SKU103,Notebook,Size-Medium,Office Supplies,USA,Distributor,Direct,125,68.31,8,0.0791,Not Applicable,11,2025,8538.75,546.48,117,7992.27,632.19
SKU104,Notebook,Size-9,Stationery,Asia,Online,Subscription,167,37.99,0,0.0817,Processing,12,2023,6344.33,0.0,167,6344.33,518.33
SKU105,Tablet Case,Wireless,Footwear,Canada,Distributor,Subscription,25,68.64,5,0.0175,Pending,1,2023,1716.0,343.2,20,1372.8,24.02
SKU106,Sneakers,Size-Medium,Accessories,Europe,Distributor,Reseller,5,85.3,3,0.0499,Processing,2,2023,426.5,255.9,2,170.6,8.51
SKU107,Coffee Mug,Wireless,Stationery,Europe,Wholesale,Reseller,199,58.11,1,0.0749,Processing,12,2023,11563.89,58.11,198,11505.78,861.78
SKU108,Coffee Mug,Style-Modern,Apparel,Europe,Wholesale,Reseller,132,16.96,7,0.0167,Pending,8,2025,2238.72,118.72,125,2120.0,35.4
SKU109,Pen Set,Size-9,Apparel,Asia,Wholesale,Direct,34,17.29,6,0.0799,Pending,7,2023,587.86,103.74,28,484.12,38.68
SKU110,Tablet Case,Style-Modern,Apparel,Canada,Wholesale,Reseller,194,10.12,6,0.0444,Processing,12,2025,1963.28,60.72,188,1902.56,84.47
SKU111,Notebook,Material-Steel,Furniture,Europe,Online,Direct,49,60.24,3,0.04,Pending,11,2023,2951.76,180.72,46,2771.04,110.84
SKU112,Coffee Mug,Style-Modern,Accessories,Australia,Wholesale,Subscription,170,60.07,3,0.0864,Pending,11,2023,10211.9,180.21,167,10031.69,866.74
SKU113,Water Bottle,Size-9,Footwear,Asia,Wholesale,Reseller,96,15.05,3,0.0149,Pending,11,2025,1444.8,45.15,93,1399.65,20.85
SKU114,Backpack,Wireless,Home Goods,Europe,Online,Direct,120,40.14,8,0.087,Paid,1,2025,4816.8,321.12,112,4495.68,391.12
SKU115,Sneakers,Fit-10 inch,Stationery,Australia,Online,Reseller,16,30.73,4,0.0729,Pending,5,2024,491.68,122.92,12,368.76,26.88
SKU116,T-Shirt,Fit-10 inch,Electronics,Asia,Wholesale,Direct,170,79.09,2,0.0239,Pending,4,2024,13445.3,158.18,168,13287.12,317.56
SKU117,Headphones,Material-Steel,Apparel,Asia,Online,Reseller,27,23.47,4,0.0901,Processing,11,2025,633.69,93.88,23,539.81,48.64
SKU118,Sneakers,Wireless,Electronics,USA,Distributor,Subscription,38,63.32,3,0.0238,Processing,9,2024,2406.16,189.96,35,2216.2,52.75
SKU119,Notebook,Color-Black,Apparel,USA,Wholesale,Direct,150,24.27,7,0.067,Processing,3,2025,3640.5,169.89,143,3470.61,232.53
SKU120,Desk Lamp,Size-Large,Home Goods,Asia,Distributor,Reseller,159,20.37,6,0.0708,Paid,12,2025,3238.83,122.22,153,3116.61,220.66
SKU121,Sneakers,Wireless,Office Supplies,Asia,Retail,Direct,101,70.19,3,0.0727,Pending,4,2024,7089.19,210.57,98,6878.62,500.08
SKU122,Coffee Mug,Wireless,Apparel,Europe,Online,Reseller,165,79.61,7,0.0445,Not Applicable,1,2023,13135.65,557.27,158,12578.38,559.74
SKU123,Desk Lamp,Color-Black,Electronics,Asia,Wholesale,Subscription,61,70.45,8,0.0687,Pending,7,2024,4297.45,563.6,53,3733.85,256.52
SKU124,Sneakers,Material-Steel,Stationery,Asia,Distributor,Subscription,57,43.8,1,0.0336,Paid,2,2024,2496.6,43.8,56,2452.8,82.41
SKU125,Backpack,Wireless,Furniture,Europe,Retail,Subscription,78,49.9,0,0.0748,Not Applicable,5,2025,3892.2,0.0,78,3892.2,291.14
SKU126,Coffee Mug,Type-Lined,Electronics,USA,Wholesale,Reseller,199,9.65,7,0.0628,Paid,10,2025,1920.35,67.55,192,1852.8,116.36
SKU127,Notebook,Size-Medium,Electronics,Australia,Online,Direct,17,50.91,5,0.0262,Not Applicable,7,2025,865.47,254.55,12,610.92,16.01
SKU128,T-Shirt,Style-Modern,Electronics,Canada,Distributor,Subscription,8,68.4,2,0.0801,Processing,3,2025,547.2,136.8,6,410.4,32.87
SKU129,Sneakers,Fit-10 inch,Accessories,USA,Retail,Direct,178,41.59,6,0.0632,Not Applicable,8,2024,7403.02,249.54,172,7153.48,452.1
SKU130,Water Bottle,Size-Medium,Apparel,Canada,Wholesale,Reseller,174,98.57,5,0.0762,Not Applicable,8,2023,17151.18,492.85,169,16658.33,1269.36
SKU131,Headphones,Color-Black,Furniture,USA,Retail,Subscription,84,71.23,4,0.0964,Pending,3,2024,5983.32,284.92,80,5698.4,549.33
SKU132,Headphones,Size-Large,Stationery,Canada,Wholesale,Subscription,62,83.94,4,0.0494,Pending,10,2024,5204.28,335.76,58,4868.52,240.5
SKU133,Water Bottle,Style-Modern,Apparel,Europe,Wholesale,Reseller,148,31.52,9,0.0868,Paid,10,2023,4664.96,283.68,139,4381.28,380.3
SKU134,Sneakers,Fit-10 inch,Accessories,Europe,Online,Direct,60,16.02,5,0.0626,Not Applicable,2,2025,961.2,80.1,55,881.1,55.16
SKU135,Tablet Case,Size-9,Footwear,Australia,Wholesale,Subscription,159,30.74,6,0.0505,Not Applicable,3,2025,4887.66,184.44,153,4703.22,237.51
SKU136,Pen Set,Color-Black,Apparel,USA,Wholesale,Reseller,177,63.23,1,0.073,Not Applicable,2,2024,11191.71,63.23,176,11128.48,812.38
SKU137,Coffee Mug,Color-Black,Stationery,Australia,Retail,Reseller,160,62.58,3,0.0964,Pending,5,2025,10012.8,187.74,157,9825.06,947.14
SKU138,Coffee Mug,Color-Black,Home Goods,Canada,Wholesale,Subscription,91,47.13,9,0.0423,Not Applicable,5,2025,4288.83,424.17,82,3864.66,163.48
SKU139,T-Shirt,Color-Blue,Stationery,Canada,Online,Reseller,117,36.03,8,0.08,Not Applicable,2,2023,4215.51,288.24,109,3927.27,314.18
SKU140,Desk Lamp,Type-Lined,Stationery,USA,Online,Subscription,66,13.49,2,0.0865,Paid,8,2023,890.34,26.98,64,863.36,74.68
SKU141,Sneakers,Wireless,Accessories,Asia,Retail,Subscription,29,55.72,3,0.0234,Processing,9,2024,1615.88,167.16,26,1448.72,33.9
SKU142,Notebook,Fit-10 inch,Apparel,Canada,Distributor,Direct,158,73.36,1,0.0303,Paid,8,2025,11590.88,73.36,157,11517.52,348.98
SKU143,Pen Set,Material-Steel,Office Supplies,Europe,Wholesale,Direct,119,69.85,3,0.0691,Not Applicable,8,2023,8312.15,209.55,116,8102.6,559.89
SKU144,Coffee Mug,Fit-10 inch,Apparel,USA,Online,Direct,191,24.22,7,0.063,Not Applicable,4,2024,4626.02,169.54,184,4456.48,280.76
SKU145,Backpack,Type-Lined,Electronics,Canada,Wholesale,Subscription,107,32.14,4,0.0923,Processing,9,2024,3438.98,128.56,103,3310.42,305.55
SKU146,Sneakers,Wireless,Apparel,Asia,Wholesale,Subscription,39,88.11,0,0.0988,Pending,4,2025,3436.29,0.0,39,3436.29,339.51
SKU147,Sneakers,Size-9,Home Goods,Canada,Online,Reseller,196,24.66,3,0.0923,Paid,5,2023,4833.36,73.98,193,4759.38,439.29
SKU148,Coffee Mug,Style-Modern,Stationery,Canada,Wholesale,Subscription,103,36.22,1,0.058,Processing,8,2025,3730.66,36.22,102,3694.44,214.28
SKU149,Pen Set,Style-Modern,Home Goods,Canada,Distributor,Subscription,102,48.3,9,0.0268,Paid,11,2025,4926.6,434.7,93,4491.9,120.38
SKU150,Sneakers,Color-Blue,Home Goods,Canada,Retail,Subscription,86,95.05,9,0.0905,Pending,5,2025,8174.3,855.45,77,7318.85,662.36
SKU151,Sneakers,Color-Blue,Accessories,Europe,Wholesale,Subscription,99,8.05,3,0.0377,Processing,2,2025,796.95,24.15,96,772.8,29.13
SKU152,Headphones,Color-Black,Office Supplies,Canada,Distributor,Direct,62,19.68,7,0.0804,Processing,11,2023,1220.16,137.76,55,1082.4,87.02
SKU153,Pen Set,Size-9,Apparel,USA,Retail,Subscription,90,14.91,7,0.0832,Paid,11,2023,1341.9,104.37,83,1237.53,102.96
SKU154,Desk Lamp,Wireless,Home Goods,USA,Wholesale,Subscription,10,61.48,4,0.0927,Pending,3,2025,614.8,245.92,6,368.88,34.2
SKU155,Pen Set,Fit-10 inch,Stationery,Asia,Wholesale,Reseller,173,85.12,1,0.0151,Pending,12,2024,14725.76,85.12,172,14640.64,221.07
SKU156,Backpack,Size-Large,Accessories,Asia,Wholesale,Direct,169,24.85,9,0.0797,Processing,4,2023,4199.65,223.65,160,3976.0,316.89
SKU157,Notebook,Size-9,Furniture,Europe,Wholesale,Subscription,178,39.2,0,0.011,Paid,12,2025,6977.6,0.0,178,6977.6,76.75
SKU158,Notebook,Size-Medium,Electronics,Asia,Distributor,Reseller,105,57.16,3,0.0409,Pending,3,2023,6001.8,171.48,102,5830.32,238.46
SKU159,Pen Set,Size-9,Stationery,Canada,Retail,Subscription,7,16.68,0,0.055,Pending,12,2025,116.76,0.0,7,116.76,6.42
SKU160,Pen Set,Type-Lined,Office Supplies,Canada,Online,Subscription,72,21.73,1,0.0122,Not Applicable,7,2025,1564.56,21.73,71,1542.83,18.82
SKU161,Desk Lamp,Color-Black,Stationery,Canada,Retail,Subscription,60,29.0,1,0.0378,Pending,10,2024,1740.0,29.0,59,1711.0,64.68
SKU162,Tablet Case,Size-Large,Stationery,Europe,Wholesale,Reseller,160,89.75,5,0.0302,Paid,6,2023,14360.0,448.75,155,13911.25,420.12
SKU163,Tablet Case,Size-Medium,Stationery,Canada,Retail,Direct,2,36.67,8,0.0832,Pending,9,2023,73.34,293.36,-6,-220.02,-18.31
SKU164,Notebook,Size-Medium,Accessories,Canada,Online,Direct,143,36.52,6,0.0272,Not Applicable,1,2023,5222.36,219.12,137,5003.24,136.09
SKU165,Water Bottle,Size-9,Office Supplies,Canada,Retail,Subscription,98,23.73,9,0.0696,Not Applicable,7,2025,2325.54,213.57,89,2111.97,146.99
SKU166,Headphones,Size-9,Home Goods,Asia,Wholesale,Reseller,187,8.46,6,0.0773,Pending,1,2025,1582.02,50.76,181,1531.26,118.37
SKU167,Desk Lamp,Color-Black,Home Goods,Canada,Retail,Direct,178,84.59,4,0.0901,Paid,11,2025,15057.02,338.36,174,14718.66,1326.15
SKU168,T-Shirt,Material-Steel,Stationery,Europe,Retail,Reseller,122,21.4,1,0.0143,Paid,4,2023,2610.8,21.4,121,2589.4,37.03
SKU169,Headphones,Wireless,Apparel,Australia,Distributor,Reseller,12,47.41,9,0.0922,Not Applicable,3,2023,568.92,426.69,3,142.23,13.11
SKU170,Headphones,Size-Medium,Electronics,Europe,Distributor,Reseller,14,27.22,6,0.0936,Pending,5,2023,381.08,163.32,8,217.76,20.38
SKU171,Desk Lamp,Style-Modern,Electronics,Europe,Online,Subscription,128,68.6,3,0.0807,Pending,7,2025,8780.8,205.8,125,8575.0,692.0
SKU172,Sneakers,Size-9,Furniture,Asia,Distributor,Subscription,162,71.26,6,0.024,Processing,12,2023,11544.12,427.56,156,11116.56,266.8
SKU173,Tablet Case,Color-Black,Footwear,Canada,Retail,Subscription,150,99.01,0,0.0885,Not Applicable,8,2024,14851.5,0.0,150,14851.5,1314.36
SKU174,Sneakers,Size-Medium,Apparel,Canada,Retail,Reseller,2,98.84,1,0.0678,Not Applicable,1,2025,197.68,98.84,1,98.84,6.7
SKU175,Headphones,Fit-10 inch,Footwear,USA,Wholesale,Direct,188,48.54,7,0.034,Pending,3,2025,9125.52,339.78,181,8785.74,298.72
